"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",19.4816411745678,-0.770585789304562,0.416026967146801,-1.85224961398392,0.0639899873317517,0.0837482502612346
"0610007P14Rik",502.444269746743,-0.269340056196737,0.121889496737538,-2.20970685256582,0.0271255138667156,0.0374927478694971
"0610009B22Rik",255.804011518314,0.0417035042146997,0.127201973606941,0.327852650648057,0.743023075969184,0.77805951498372
"0610009L18Rik",56.4425149390438,-0.18858095597124,0.234879182289826,-0.802884930596117,0.422041246791899,0.473167508386585
"0610009O20Rik",768.831035868422,-0.113116098533172,0.0895844017627624,-1.26267627296018,0.206705544420473,0.247590240423831
"0610010F05Rik",2159.63473123766,-1.48497056975376,0.12593671008544,-11.7914035450529,4.32276276115432e-32,2.40064623275946e-31
"0610010K14Rik",785.484293669989,-1.20871246878268,0.129405936089805,-9.34047158349723,9.59059910813785e-21,3.74191269362138e-20
"0610011F06Rik",323.903680027573,0.630712513696863,0.134108424231836,4.70300443323783,2.56360850884014e-06,5.08654723413143e-06
"0610012G03Rik",663.770941818308,0.18716111354664,0.114165795294437,1.63937993042439,0.101134158740134,0.128414142619135
"0610030E20Rik",613.712376460605,-0.766985847948187,0.101857450537773,-7.52999259159504,5.0743201801856e-14,1.50632118749205e-13
"0610037L13Rik",678.146647561791,-0.000601439338278138,0.100780371192295,-0.00596782221738947,0.995238395055161,0.995791305274636
"0610038B21Rik",11.1076322201332,3.5397928426453,0.719829975870695,4.9175401987999,8.76384641790175e-07,1.79830094549858e-06
"0610039H22Rik",1.22735921834144,-3.56112718029012,1.95889304691534,-1.8179283375873,0.0690750864887107,0.0899394380900578
"0610039K10Rik",8.79427055717949,1.03000737791195,0.572854519539249,1.79802610048428,0.072172871739101,0.0936749365826757
"0610040B10Rik",16.7462136162191,0.814751833782175,0.429963355327813,1.894933192995,0.0581012529975781,0.0764691293836877
"0610040F04Rik",6.19142384362925,3.02619192437376,0.821812544469531,3.68233844170281,0.000231104323880722,0.000398715286243108
"0610040J01Rik",57.7789884738868,2.41966408278994,0.287446539662586,8.41778817595167,3.83658665227357e-17,1.30077043688718e-16
"0610043K17Rik",7.15132746259377,0.594981748388103,0.662013476141978,0.898745674869768,0.3687881422679,0.418728687570602
"1110001J03Rik",222.659193361525,0.432312246824002,0.153921011867325,2.80866297316602,0.0049747695775174,0.00752019473653587
"1110002L01Rik",75.4157607524095,-0.702117531061341,0.20621651707911,-3.40475894465811,0.000662224822696504,0.00109579833303602
"1110004E09Rik",540.322555432647,0.364196706554054,0.114507677069917,3.18054401131271,0.00146998808465571,0.00234806965894894
"1110004F10Rik",2358.1066105355,-0.835406356448269,0.073232903057505,-11.4075275124937,3.8347483541377e-30,2.0211828462985e-29
"1110006O24Rik",10.6039244258955,0.793874495834898,0.522944858708355,1.51808452194314,0.128993092559409,0.160694860413291
"1110007C09Rik",101.862760455879,1.00968835142608,0.22886249052547,4.4117686087739,1.02529654377882e-05,1.95485822077669e-05
"1110008F13Rik",515.007473136509,-0.169301677663214,0.1204090754674,-1.40605412844526,0.159708052228241,0.195589692685341
"1110008L16Rik",182.621239497096,-1.02874555054333,0.152045543727269,-6.76603552675398,1.32359056758526e-11,3.53205898980747e-11
"1110008P14Rik",896.79360068445,2.72969679373365,0.108708471738994,25.1102489996142,3.84348048157166e-139,1.33117468217511e-137
"1110012L19Rik",194.508725955808,-0.731560981211387,0.145703595074289,-5.02088490567711,5.14339730851852e-07,1.07151631609507e-06
"1110015O18Rik",58.6454799876236,-3.50810397071072,0.35427545447021,-9.9021931281037,4.07244862674373e-23,1.72819980602391e-22
"1110017D15Rik",47.2594272560505,-0.174669501817055,0.273351803492698,-0.638991583685384,0.522828407057255,0.572166227811944
"1110019D14Rik",24.7377518948944,1.17662981767922,0.363799766707418,3.2342786481925,0.00121950410753608,0.00196451421974283
"1110020A21Rik",9.26960794544498,0.2283369498068,0.589014777580855,0.387659119087986,0.69826831268547,0.737584299792687
"1110028F11Rik",0.416746389005941,-0.510899309839862,2.68971917381808,-0.189945223580585,0.849352054210165,NA
"1110032A03Rik",364.801001081953,0.875485332134599,0.133321420340559,6.56672671126849,5.1433316253663e-11,1.33378549420946e-10
"1110032F04Rik",208.38393110648,1.7880110797232,0.196489714669185,9.09976933262663,9.05238819428848e-20,3.3986556468446e-19
"1110034G24Rik",119.912510558631,-0.0210597536793555,0.210826495878782,-0.0998913992834381,0.920430544576139,0.933544748990047
"1110037F02Rik",1692.29638626391,-0.803333620173842,0.0814060048340844,-9.86823541839617,5.7161295754123e-23,2.41717524426334e-22
"1110038B12Rik",401.714153769553,-2.79743885696452,0.133085181121625,-21.0199124604863,4.31228110368974e-98,8.61021980903018e-97
"1110038F14Rik",384.581295549607,-0.666460170536085,0.111053800228337,-6.00123696051624,1.95819968098107e-09,4.67734433083143e-09
"1110046J04Rik",25.4731008682106,2.67446213523551,0.430330018471067,6.21490953556456,5.13542274607985e-10,1.26627825379105e-09
"1110051M20Rik",1372.0009347685,0.167499823373637,0.0936606084632506,1.78837001084995,0.073716331335233,0.095526775604227
"1110058D11Rik",1.56011131479674,0.104400894143731,1.38132387825512,0.0755803152231105,0.939752997838002,0.949826112074887
"1110059E24Rik",335.024104181403,-0.0954016225188624,0.115998418991432,-0.822438989671998,0.410827096534301,0.461658202320008
"1110059G10Rik",211.903957404736,-0.162465346172339,0.152543257801504,-1.06504442421012,0.286855826994186,0.332814110942813
